Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2021;3º;Demais bancos e financeiras;Conglomerado; ;ABC-BRASIL (conglomerado); ;1;2;1;4;29707;28217;4009;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);82,54;109;296;107;512;1320447;999951;873341;
2021;3º;Demais bancos e financeiras;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;1;2;6;453405;130;453275;
2021;3º;Demais bancos e financeiras;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4;0;6;10;18217;9981;11683;
2021;3º;Demais bancos e financeiras;Conglomerado; ;ALFA (conglomerado); ;13;61;11;85;420486;268221;153423;
2021;3º;Demais bancos e financeiras;Conglomerado; ;ANDBANK (conglomerado); ;0;3;3;6;4369;4369;48;
2021;3º;Demais bancos e financeiras;Banco/financeira;03532415;BANCO ABN AMRO S.A.; ;0;0;1;1;41;41;1;
2021;3º;Demais bancos e financeiras;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;9;1;11;28673;20319;8520;
2021;3º;Demais bancos e financeiras;Banco/financeira;33132044;BANCO CEDULA S.A.; ;0;1;0;1;18022;2815;15434;
2021;3º;Demais bancos e financeiras;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;1;1;28309;1234;27347;
2021;3º;Demais bancos e financeiras;Banco/financeira;08357240;BANCO CSF S.A.;14,94;111;89;59;259;7425297; ;7425297;
2021;3º;Demais bancos e financeiras;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;2;4;8;14;551874;473802;194373;
2021;3º;Demais bancos e financeiras;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.; ;1;0;0;1;481;457;39;
2021;3º;Demais bancos e financeiras;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA; ;0;1;0;1;256;244;21;
2021;3º;Demais bancos e financeiras;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;258,94;102;28;34;164;393906;266246;192853;
2021;3º;Demais bancos e financeiras;Banco/financeira;27098060;BANCO DIGIO S.A.;31,05;58;108;71;237;1867547;1096662;1553737;
2021;3º;Demais bancos e financeiras;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;10;23;17;50;1082245;831407;621508;
2021;3º;Demais bancos e financeiras;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;42,87;39;23;23;85;909670;786497;405982;
2021;3º;Demais bancos e financeiras;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;13;23;37;73;8844660;8261233;3268835;
2021;3º;Demais bancos e financeiras;Banco/financeira;58616418;BANCO FIBRA S.A.; ;0;0;1;1;163670;4092;160152;
2021;3º;Demais bancos e financeiras;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;7;4;11;4661;147;4533;
2021;3º;Demais bancos e financeiras;Banco/financeira;53518684;BANCO HSBC S.A.; ;0;0;2;2;3087;3074;58;
2021;3º;Demais bancos e financeiras;Banco/financeira;04866275;BANCO INBURSA S.A.; ;5;5;5;15;14726;9;14717;
2021;3º;Demais bancos e financeiras;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;5;2;0;7;50060;47319;2771;
2021;3º;Demais bancos e financeiras;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;1;0;2;3;28238;7793;20692;
2021;3º;Demais bancos e financeiras;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;2;2;0;4;270979;3638;267795;
2021;3º;Demais bancos e financeiras;Banco/financeira;11970623;BANCO SENFF S.A.; ;1;4;1;6;109166;40042;70102;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BANCO SICOOB (conglomerado); ;21;26;6;53;5047970;2390217;3240987;
2021;3º;Demais bancos e financeiras;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;4;5;2;11;43686;15291;30304;
2021;3º;Demais bancos e financeiras;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;1;4;3;8;155981;15264;141643;
2021;3º;Demais bancos e financeiras;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;10;15;6;31;2025332;439855;1847196;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BANESTES (conglomerado); ;17;35;21;73;1345235;1295217;477798;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BANRISUL (conglomerado);37,68;190;550;115;855;5041288;3714546;3937433;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BARIGUI (conglomerado); ;19;32;21;72;172348;144592;45355;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;BB (conglomerado);16,79;1180;2361;2288;5829;70259170;65432728;31696455;
2021;3º;Demais bancos e financeiras;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;0;1;1;0;0;0;
2021;3º;Demais bancos e financeiras;Banco/financeira;11285104;BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;0;0;1;1;18321;251;18070;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BMG (conglomerado);106,63;868;1268;262;2398;8140173;4751592;5008921;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BMW (conglomerado); ;0;0;1;1;28019;25950;21412;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BNP PARIBAS (conglomerado);125,22;286;493;117;896;2283925;11993;2272412;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;1;1;2;4782;4777;107;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;BRADESCO (conglomerado);36,03;3613;4188;2892;10693;100264792;91440415;43363537;
2021;3º;Demais bancos e financeiras;Conglomerado; ;BRB (conglomerado);50,95;148;197;351;696;2904792;2790333;1380307;
2021;3º;Demais bancos e financeiras;Banco/financeira;12865507;BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;6482;715;5970;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;BTG PACTUAL/BANCO PAN (conglomerado);65,83;1004;1372;685;3061;15250442;9574292;7935699;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;C6 BANK (conglomerado);149,45;1651;1425;749;3825;11046743;9885015;3341379;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);22,36;3264;4303;4305;11872;145914729;144407266;23490184;
2021;3º;Demais bancos e financeiras;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;2;3;7;76719;70930;16272;
2021;3º;Demais bancos e financeiras;Conglomerado; ;CCB (conglomerado); ;24;122;14;160;205490;3702;202355;
2021;3º;Demais bancos e financeiras;Conglomerado; ;CITIBANK (conglomerado); ;1;5;6;12;18294;17394;1809;
2021;3º;Demais bancos e financeiras;Conglomerado; ;COLOMBO (conglomerado); ;2;4;0;6;345089;30;345072;
2021;3º;Demais bancos e financeiras;Conglomerado; ;CREFISA (conglomerado);24,02;64;133;57;254;2663580;1577219;1594966;
2021;3º;Demais bancos e financeiras;Conglomerado; ;DAYCOVAL (conglomerado);255,32;332;552;63;947;1300297;160302;1173219;
2021;3º;Demais bancos e financeiras;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;458,43;131;272;25;428;285752;681;285077;
2021;3º;Demais bancos e financeiras;Conglomerado; ;FATOR (conglomerado); ;0;0;1;1;13744;13740;19;
2021;3º;Demais bancos e financeiras;Banco/financeira;36583700;FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;0;2;11153; ;11153;
2021;3º;Demais bancos e financeiras;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;4;5;85526;1653;83930;
2021;3º;Demais bancos e financeiras;Conglomerado; ;GENIAL (conglomerado); ;10;3;1;14;208540;208535;44;
2021;3º;Demais bancos e financeiras;Conglomerado; ;GM (conglomerado); ;1;10;9;20;274480;483;274083;
2021;3º;Demais bancos e financeiras;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);95,86;86;136;55;277;897134;892175;16308;
2021;3º;Demais bancos e financeiras;Conglomerado; ;GRUPO ZEMA (conglomerado); ;1;4;4;9;461496;577;460937;
2021;3º;Demais bancos e financeiras;Conglomerado; ;HERVAL - HS (conglomerado); ;10;1;3;14;219957;22813;202041;
2021;3º;Demais bancos e financeiras;Conglomerado; ;HONDA (conglomerado); ;5;7;7;19;428225;106;428199;
2021;3º;Demais bancos e financeiras;Banco/financeira;17453575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; ;0;1;0;1;187;175;24;
2021;3º;Demais bancos e financeiras;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;10;18;4;32;63911;4519;60187;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;INTER (conglomerado);55,99;746;732;298;1776;13323223;13217210;1954815;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;ITAU (conglomerado);15,05;1318;3194;2338;6850;87568455;68959837;50906457;
2021;3º;Demais bancos e financeiras;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;6;1;7;52001; ;52001;
2021;3º;Demais bancos e financeiras;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;2;0;3;249991;4;249987;
2021;3º;Demais bancos e financeiras;Conglomerado; ;LECCA (conglomerado); ;3;4;2;9;27668;330;27340;
2021;3º;Demais bancos e financeiras;Banco/financeira;07747410;M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;3;6;5;14;626141; ;626141;
