ano;trimestre;categoria;tipo;cnpj;instituicao_financeira;indice;qtd_reclamacoes_reguladas_procedentes;qtd_reclamacoes_reguladas_outras;qtd_reclamacoes_nao_reguladas;qtd_total_reclamacoes;qtd_total_clientes_ccs_e_scr;qtd_clientes_ccs;qtd_clientes_scr
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;27351731;REALIZE CRDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;13;53;27;93;5561332;55482;5559674
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;RECARGAPAY (conglomerado);7,01;53;41;6;100;7559390;7557722;27113
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;RENDIMENTO (conglomerado); ;2;13;3;18;259475;255724;6895
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;65697260;REPOM S.A.; ;2;0;0;2;270013;270012;4
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;RODOBENS (conglomerado); ;2;5;10;17;27298;1537;26117
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;SAFRA (conglomerado);63,88;369;514;169;1052;5775583;2040680;4096212
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;SANTANDER (conglomerado);21,05;1306;3441;1271;6018;62028657;55990014;25546690
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;00122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;5;1;6;11724;439;11285
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;SENFF (conglomerado); ;5;10;7;22;474751;185243;338115
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;05503849;SF3 CRDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;0;0;1;1;19076;1299;17780
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;38372267;SHPP BRASIL INSTITUIO DE PAGAMENTO E SERVIOS DE PAGAMENTOS LTDA.; ;21;17;38;76;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;SICREDI (conglomerado); ;0;0;1;1;7410928;7388472;219552
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;SINOSSERRA (conglomerado); ;2;1;0;3;9868;126;9753
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;15173776;SOCIAL BANK BANCO MLTIPLO S/A; ;7;0;2;9;1258;1250;11
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;23757411;SOCIAL BANK INSTITUIO DE PAGAMENTO S.A; ;4;1;0;5;301235;301235; 
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;03881423;SOCINAL S.A. - CRDITO, FINANCIAMENTO E INVESTIMENTO; ;27;14;15;56;2471;443;2028
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;SOFISA (conglomerado); ;23;30;14;67;672226;661744;58375
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;17359351;STARA FINANCEIRA S.A. - CRDITO FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;771;25;746
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;STONE (conglomerado);14,82;42;111;7;160;2832151;2832054;99
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;22121209;STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA; ;0;2;2;4;74; ;74
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;SUMUP (conglomerado); ;10;5;5;20;113;0;113
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;30980539;U4C INSTITUIO DE PAGAMENTO S.A.; ;3;4;0;7;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRDITO, FINANCIAMENTO E INVESTIMENTOS; ;2;3;3;8;467431;17124;455695
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;VOITER (conglomerado); ;1;1;1;3;265635;15548;250495
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;VOLKSWAGEN (conglomerado); ;14;25;45;84;325412;288;325256
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;VOTORANTIM (conglomerado);13,05;190;200;138;528;14551717;10657305;5428595
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;VR (conglomerado); ;0;2;0;2;77;60;18
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;WESTERN UNION (conglomerado); ;5;4;0;9;1;1; 
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;WILL (conglomerado);36,34;134;87;59;280;3686960;3686960; 
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;XP (conglomerado);85,29;118;30;19;167;1383442;1351319;754933
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;1;6;5;12;191613;172;191464;
