ano;trimestre;categoria;tipo;cnpj;instituicao_financeira;indice;qtd_reclamacoes_reguladas_procedentes;qtd_reclamacoes_reguladas_outras;qtd_reclamacoes_nao_reguladas;qtd_total_reclamacoes;qtd_total_clientes_ccs_e_scr;qtd_clientes_ccs;qtd_clientes_scr
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;CITIBANK (conglomerado); ;2;9;8;19;18935;18057;1780
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;18189547;CLOUDWALK INSTITUIO DE PAGAMENTO E SERVICOS LTDA; ;7;9;14;30;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;COBUCCIO (conglomerado); ;16;9;44;69;752805;6695;751131
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;COLOMBO (conglomerado); ;1;3;0;4;322448;61;322405
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;05938780;COOPER CARD INSTITUIO DE PAGAMENTO LTDA.; ;1;1;0;2;392951;131098;287743
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;CREDSYSTEM (conglomerado); ;5;14;15;34;4235510;0;4235510
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;CREFISA (conglomerado);23,81;84;145;83;312;3526710;2023560;1923733
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;DAYCOVAL (conglomerado);103,22;180;537;79;796;1743806;275309;1527166
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;13370835;DOCK INSTITUIO DE PAGAMENTO S.A.; ;20;11;3;34;2013085;2013085; 
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;21018182;EBANX INSTITUICAO DE PAGAMENTOS LTDA.; ;27;35;5;67;559116;559114;2
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;00714671;EWALLY INSTITUIO DE PAGAMENTO S.A.; ;2;2;1;5;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;39321657;FACEBOOK INSTITUIO DE PAGAMENTO DO BRASIL LTDA.; ;1;1;0;2;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRDITO FINANCIAMENTO E INVESTIMENTO;396,37;352;257;67;676;888045;686;887367
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;36583700;FC FINANCEIRA S.A. - CRDITO, FINANCIAMENTO E INVESTIMENTO; ;15;4;3;22;21602; ;21602
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;1;3;83736;1578;82190
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;FINAXIS (conglomerado); ;0;0;1;1;3907;3907; 
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;04962772;FISERV DO BRASIL  INSTITUIO DE PAGAMENTO LTDA; ;0;2;0;2;93; ;93
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;13203354;FITBANK INSTITUIO DE PAGAMENTOS ELETRNICOS S.A.; ;4;1;0;5;29083;29083; 
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;23114447;FLAGSHIP INSTITUICAO DE PAGAMENTOS LTDA; ;1;6;0;7;73806;73806; 
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;02732968;FORTBRASIL INSTITUIO DE PAGAMENTO S/A; ;4;6;6;16;624574; ;624574
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;GAZIN (conglomerado); ;0;1;0;1;52007;450;51636
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;GENIAL (conglomerado); ;9;4;0;13;734186;734183;412
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;GERENCIANET (conglomerado); ;8;13;2;23;345269;345030;15425
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;GM (conglomerado); ;1;6;8;15;221613;474;221222
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;22177858;GRANITO INSTITUIO DE PAGAMENTO S.A.; ;3;0;2;5;60; ;60
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);375,26;122;72;21;215;325107;316674;11072
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;GRUPO ZEMA (conglomerado); ;1;3;13;17;537686;27881;518166
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;HERVAL - HS (conglomerado); ;1;9;1;11;218105;803;217505
