employer_name|reviews_count|culture_count|salaries_count|benefits_count|employer-website|employer-headquarters|employer-founded|employer-industry|employer-revenue|url|Geral|Cultura e valores|Diversidade e inclusão|Qualidade de vida|Alta liderança|Remuneração e benefícios|Oportunidades de carreira|Recomendam para outras pessoas(%)|Perspectiva positiva da empresa(%)|CNPJ|Nome|match_percent
Apex Group|450|281|592|74|http://www.apexgroup.com|Hamilton, Bermuda|2003.0|/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm|Mais de US$ 10 bilhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Apex-Group-EI_IE764729.13,23.htm|3.2|2.9|3.5|3.0|2.9|2.7|3.2|52.0|53.0|655522|APE POUPEX|70
Banco Alfa|175|74|271|105|http://www.alfanet.com.br|São Paulo, Brasil|1925.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm|3.5|3.2|3.2|3.1|2.8|3.8|2.7|68.0|47.0|58160789|SAFRA|67
China Construction Bank|871|194|720|240|http://www.ccb.com|Pequim, China||/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Mais de US$ 10 bilhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-China-Construction-Bank-EI_IE12617.13,36.htm|3.4|3.0|3.0|3.4|2.9|3.5|2.8|54.0|42.0|7450604|CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/|77
Mercedes-Benz Mobility|282|90|513|118|https://www.mercedes-benz-mobility.com/de/karriere/|Estugarda, Alemanha|1990.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Mais de US$ 10 bilhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Mercedes-Benz-Mobility-EI_IE38563.13,35.htm|4.1|4.1|4.0|4.4|3.7|4.0|3.6|87.0|51.0|60814191|MERCEDES-BENZ|73
Sumitomo Mitsui Financial Group|903|246|1300|290|http://www.smfg.co.jp|Tóquio, Japão|1996.0|/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm|Mais de US$ 10 bilhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Sumitomo-Mitsui-Financial-Group-EI_IE256138.13,44.htm|3.4|3.2|3.3|3.4|3.1|3.3|3.1|56.0|53.0|60518222|BANCO SUMITOMO MITSUI BRASIL S.A.|65
